Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,PFG,0,0,0,0,10880000000.0,11170000000.0,8.88,8.69,,0.65,0.84,0.66,,8.34,9.81,0.37,10.02,15950000000.0,56.99,2.5,6200000000.0,1780000000.0,1330000000.0,4.72,-39.3,4130000000.0,14.88,4139999999.9999995,27.14,2.41,53.25,5910000000.0,1640000000.0,1.49,34.93,44.48,2270000.0,273870000.0,276520000.0,0.33,74.51,3920000.0,1.93,1.63,3080000.0
0,0,TIBX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,AVY,0,0,0,0,,,,,,,,,,3.37,11.55,9.69,22.64,7070000000.0,83.45,0.1,1900000000.0,974200000.0,238200000.0,2.79,-3.3,255700000.0,3.06,2140000000.0000002,202.71,1.03,12.65,737200000.0,393260000.0,1.31,108.1,119.4,83340000.0,83340000.0,83020000.0,0.68,92.06,1.73,1.73,1.15,1090000.0
0,0,EOG,0,0,0,0,,,,,,,,,,17.42,22.85,6.99,15.08,17180000000.0,29.75,-10.6,9120000000.0,8060000000.000001,2990000000.0,5.15,-48.4,1580000000.0,2.72,6050000000.0,28.62,1.08,36.31,8439999999.999999,494610000.0,1.49,47.73,61.42,7480000.0,582050000.0,578900000.0,0.34,89.21,11740000.0,1.94,2.26,10970000.0
0,0,TSO,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SWY,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,EL,0,0,0,0,73170000000.0,77150000000.0,57.25,36.63,3.67,4.83,16.9,4.99,29.74,12.34,17.8,12.12,42.06,15230000000.0,42.06,10.5,11500000000.0,3280000000.0,1880000000.0,5.09,19.0,2260000000.0,6.29,6100000000.0,133.74,1.53,12.56,2470000000.0,1530000000.0,0.67,175.33,187.73,2280000.0,224760000.0,220490000.0,4.05,90.55,3100000.0,1.62,1.4,3250000.0
0,0,SPG,0,0,0,0,,,,,,,,,,40.69,49.85,5.44,72.03,5660000000.0,18.35,2.0,4660000000.0,4160000000.0,2300000000.0,7.45,-2.2,3650000000.0,11.89,27160000000.0,821.35,1.04,8.57,3850000000.0,1890000000.0,0.52,58.0,105.83,8000000.0,305750000.0,304510000.0,0.49,98.34,23330000.0,2.66,10.04,16640000.0
0,0,APA,0,0,0,0,,,,,,,,,,-15.31,8.82,1.59,-9.0,6260000000.0,16.57,-26.2,4630000000.0,3790000000.0,-958000000.0,-2.54,,163000000.0,0.43,8710000000.0,102.49,1.03,16.76,3130000000.0,155380000.0,2.0,11.12,18.43,24000000.0,377430000.0,374510000.0,0.46,99.95,34090000.0,1.42,12.29,49390000.0
0,0,ANF,0,0,0,0,712530000.0,1940000000.0,17.35,17.61,,0.22,0.9,0.58,-18.76,1.48,3.73,2.9,5.46,3590000000.0,55.11,0.3,2150000000.0,277440000.0,53160000.0,0.8,-72.7,410780000.0,6.55,1760000000.0,177.05,1.41,15.67,241850000.0,-17840000.0,1.01,10.88,13.75,3120000.0,62280000.0,61960000.0,2.14,108.41,10310000.0,4.31,22.76,13750000.0
0,0,DAL,0,0,0,0,,,,,,,,,,10.12,13.74,6.73,32.59,46310000000.0,70.14,5.1,12920000000.0,8600000000.0,4690000000.0,7.07,13.1,1910000000.0,2.96,16840000000.0,111.78,0.34,23.39,8710000000.0,1810000000.0,1.1,23.32,42.77,54000000.0,637830000.0,571170000.0,0.38,85.17,33090000.000000004,0.57,5.21,22740000.0
0,0,SNA,0,0,0,0,7660000000.0,8620000000.0,12.01,12.77,1.66,1.96,2.3,2.16,8.53,17.17,23.6,10.95,21.98,4059999999.9999995,73.36,0.6,2089999999.9999998,1040000000.0,697900000.0,12.43,0.9,167300000.0,3.05,1250000000.0,37.51,2.37,60.24,693800000.0,438610000.0,1.21,125.15,143.21,54350000.0,54350000.0,54130000.0,1.36,101.41,6440000.0,9.06,13.58,6690000.0
0,0,FAST,0,0,0,0,24090000000.0,24630000000.0,30.26,33.11,3.8,4.49,9.07,4.57,20.22,14.77,19.87,18.74,31.87,5290000000.0,9.23,7.8,2520000000.0,1200000000.0,781000000.0,1.36,8.0,191200000.0,0.33,685400000.0,26.51,4.51,4.51,768300000.0,365340000.0,1.23,37.86,35.91,5740000.0,572820000.0,571420000.0,0.33,85.44,24920000.0,5.83,4.97,25850000.0
0,0,NE,0,0,0,0,,,,,,,,,,-63.89,-8.8,-0.68,-22.59,1100000000.0,4.42,-2.9,547720000.0,351200000.0,-696960000.0,-2.822,,135990000.0,0.55,3970000000.0,106.99,0.58,14.42,97060000.0,70000000.0,2.65,0.198,0.6493,9260000.0,250950000.0,222390000.0,1.8,83.14,22270000.0,2.92,10.67,22700000.0
0,0,CHK,0,0,0,0,,,,,,,,,,,,,,,,,2800000000.0,,,,,,,,,,,,,,16.37,79.3,4670000.0,,,,,,,,
0,0,LNC,0,0,0,0,,,,,,,,,,4.89,7.95,0.28,4.86,17440000000.0,85.46,8.8,4590000000.0,1460000000.0,853000000.0,4.09,,7630000000.0,38.47,7550000000.0,37.73,2.75,100.84,-1950000000.0,4790000000.0,1.95,33.86,45.19,3160000.0,193220000.0,197000000.0,0.7,85.96,9670000.0,4.0,5.71,8660000.0
0,0,DFS,0,0,0,0,16050000000.0,,7.84,10.29,0.35,1.42,1.76,,,36.13,47.88,2.71,25.83,8130000000.000001,24.99,6.0,7820000000.0,,2880000000.0,8.84,6.9,6080000000.0,19.39,24460000000.0,208.74,1.29,35.41,5490000000.0,,1.61,41.22,61.72,5890000.0,306300000.0,311190000.0,0.52,86.16,8810000.0,1.56,2.88,6710000.0
0,0,ZNGA,0,0,0,0,8890000000.0,8340000000.0,132.71,65.79,,6.24,4.79,5.71,43.71,3.94,-8.62,-2.24,2.59,1170000000.0,1.27,48.0,797570000.0,-28030000.0,45980000.0,0.05,2155.7,1380000000.0,1.46,711810000.0,36.72,2.12,2.05,258709999.99999997,416740000.0,0.28,7.96,6.87,22300000.0,955770000.0,871790000.0,7.72,81.1,49710000.0,2.59,5.62,38680000.0
0,0,AEO,0,0,0,0,,,,,,,,,,6.2,8.04,7.83,20.55,4240000000.0,24.7,6.2,1520000000.0,513700000.00000006,262660000.00000003,1.52,-5.5,264510000.0,1.58,1650000000.0,130.6,1.33,7.55,391260000.0,80420000.0,0.83,8.54,11.78,8060000.000000001,165500000.0,150640000.0,7.03,103.57,25670000.0,2.78,19.65,10260000.0
0,0,XRAY,0,0,0,0,,,,,,,,,,4.08,9.63,2.8,3.17,3980000000.0,17.82,3.6,2190000000.0,705300000.0,162400000.0,0.71,203.6,226100000.0,1.02,1580000000.0,31.15,2.09,22.75,535700000.00000006,435890000.0,0.92,41.64,49.1,3020000.0,219080000.0,221680000.0,0.36,95.95,6030000.0,2.45,3.13,5410000.0
0,0,GT,0,0,0,0,2029999999.9999998,8470000000.000001,,5.84,,0.14,0.58,0.6,8.7,1.28,5.32,2.76,4.22,14910000000.0,63.91,-3.2,3150000000.0,1560000000.0,191000000.0,0.81,-74.9,868000000.0,3.73,7510000000.0,149.26,1.33,20.79,801000000.0,-56620000.0,1.67,7.11,10.74,6770000.0,233000000.0,231670000.0,0.28,86.55,15310000.0,2.47,7.39,14350000.0
